Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
9778;31.08.2003 13:38;37,678;27,5428;10;Ml;4
9762;26.07.2003 13:31;38,099;28,841;10,6;mb;4,6
9761;26.07.2003 08:36;38,051;28,902;22,3;Mw;5,4
9760;26.07.2003 01:00;38,082;28,895;5;mb;4,5
9758;23.07.2003 04:56;38,065;28,886;15;Mw;5,3
9732;22.06.2003 23:46;38,998;28,029;15,1;mb;4,5
9722;13.06.2003 10:28;39,3085;28,2269;10;mb;4,1
9684;4.05.2003 11:00;38,1785;26,9271;10,3;mb;4
9671;17.04.2003 22:34;38,181;26,959;15;Mw;5,2
9665;10.04.2003 03:03;38,1924;26,8008;6,1;Md;4,1
9664;10.04.2003 00:53;38,1518;26,8414;34;Ml;4,1
9663;10.04.2003 00:40;38,226;26,918;14,1;Mw;5,7
9649;20.03.2003 12:25;40,005;28,7787;13,6;mb;4,2
9614;16.01.2003 02:17;38,2837;27,1711;8,4;Ml;4
9594;11.12.2002 15:52;38,2842;27,1421;10;Ml;4
9543;4.09.2002 13:35;38,298;27,407;11,2;mb;4
9519;30.07.2002 12:20;37,671;29,292;17,3;mb;4,7
9508;9.07.2002 22:39;39,339;27,809;1,1;Ml;4,3
9477;6.06.2002 05:09;39,06;28,01;8;mb;4,2
